keyword,text,date,category
청바지,사진 이랑 똑같이 슬림하 기장 길어요 저 약간 짧게 입는 체질 여서 저 겉 다음 입엇 습 니 다 참고하세요 이쁘긴 진짜 이뻐요 봄 가을 입어도,2019.02.09 19:20,None
청바지,너무 만족 같은핏 다크 블랙 색상 오면 좋겠다는 마음 뿌누 ㅜ,2019.02.08 03:02,None
청바지,기준 하면 딱 좋네요 가격 도 싸고 많이 파세요,2019.05.16 18:28,price
청바지,라서 허리 맞는 벨트 찾기 힘들었는데 이건 제일 끝 있는걸 면 적당히 맞네요 다만 새거라 그런지 많이 빳빳해 서 많이 써야 부드러워질 같아요,2019.05.15 19:57,None
청바지,원래 싸구려 벨트 매고 다녔는데 벨트 맞더라구요 처음 벨트 입문 용 샀는데 디자인 도 예쁘고 구도 도 좋고 만족스럽습니다,2019.05.15 18:41,None
청바지,벨트 두껍고 딴딴하고 왠만한 옷 에도 다 어울려요 오래 이용 할 같아요,2019.05.15 17:46,None
청바지,허리 커버 못 하는 같아요 구멍 있어야 다용 도 펀 칭기 사서 뚫으려고요,2019.05.15 20:53,None
청바지,가격 대비 좋습니다 벨트 사야겠다고 했는데 좋은 가격 구매 했습니다,2019.05.15 16:38,price
청바지,가격 대비 튼튼하고 퀄리티 좋고 디자인 좋네요 좋아요,2019.05.15 21:49,price
청바지,가격 대비 최고 벨트 인 같아요 넣어 입 을 이쁜 벨틉니 다,2019.05.15 22:17,price
청바지,넣어 입 을 벨트 예뻐서 좋고 구성 도 있고 좋습니다,2019.05.15 15:28,None
청바지,사이즈 별로 나와있어서 일단 좋고 진짜 기본 고 있을 만해 요,2019.05.15 14:15,size
청바지,깔끔하고 기본 벨트 네 요 사이즈 도 맞아서 좋아요,2019.05.15 13:12,size
청바지,가격 이정 도 퀄리티 면 브랜드 보다도 가격 도 저렴한데 허 부족함 을 못 느낍니다요,2019.05.16 14:36,price
청바지,가죽 이라 역시 짱짱하고 좋네요 사용 있어요 감사합니다 ㅎㅎ,2019.05.16 14:20,None
청바지,사이즈 맞습니다 다음 색상 구매 해 보고 싶네요,2019.05.16 14:09,size
청바지,매우 만족하며 입고 있습니다 다음 에도 구입 하겠습니다,2019.05.15 11:43,None
청바지,가죽 냄새 도 거의 없고 어디 착용 해도 무난 깔끔해서 좋습니다,2019.05.15 10:27,None
청바지,가격 비해 역시 가죽 도 괜찮고 구성 도 좋은 거 같아요,2019.05.15 10:12,price
청바지,너무 과 하지도 않고 심플 기본 벨트 무난 하게 착용 하기 좋습니다,2019.05.15 09:25,None
청바지,꼭 필요한 벨트 입니다 이쁘고 좋네요,2019.05.15 07:48,None
청바지,좋네요 질도 좋은 거 같구요 다음 구입 할 의사 있습니다 번창 하세요 ㅎㅎ,2019.05.15 02:54,None
청바지,무난 하게 착용 하기 좋은 거 같아요 그냥 진짜 무난,2019.05.15 02:28,None
청바지,길다는 후기 보고 샀는데 조금 짧은거 같아요 평소 바지 입는데 샀어도 괜찮았을꺼 같습니다 배송 빠르고 가격 대비 괜찮아요 잘쓰겠습니다,2019.05.14 23:25,price
청바지,믿고 있는 무신사 스탠다드 입니다 평소 쓰던 벨트 너무 헐어서 튼튼한거로 구 하려고 툭 사 버렸습니다 산 슬랙스 사이즈 미스 환불 했는데 벨트 짱짱하고 아주,2019.05.14 19:48,size
청바지,근데 줄이 길어서 시킬 걸 그랬네요 뚱뚱하신 분들 아니면 걍 가셔도 듯 요,2019.05.14 19:37,None
청바지,오래 착용 가능할거 같아요 사이즈 를 못 사서 구멍 을 추가 뚫어야하지만 ㅠㅠ,2019.05.16 08:30,size
청바지,이쁘고 맘 드는데 구성 어떠려는지 써 봐야 같네요,2019.05.16 06:48,None
청바지,가격 딱 퀄리티 편하게 쓸만 합니다 근데 마른,2019.05.16 02:56,size
청바지,아버지 선물 드렸는데 나이 드신 어른 분들 착용 하긴 맞지 않지만 그래도 좋아하셔서 기쁩니다,2019.05.14 16:28,None
청바지,벨트 를 아무 거나 차고 다니다가 조금 꾸미고싶어서 새로 샀는데 매우 맘에듭키 다,2019.05.14 11:07,None
청바지,굵기가 볼드 버클 도 보올드 느낌 스 넘나 이쁨,2019.05.14 09:43,None
청바지,슬랙스 입 을 벨트 없었는데 기본 인 디자인 정말 좋습니다,2019.05.14 09:01,None
청바지,짧아서 놀랬는데 기 본 템 깔끔하고 좋습니다,2019.05.14 08:38,None
청바지,가격 대비 품질 좋은 거 같아서 괜찮았어요,2019.05.14 03:33,price
청바지,벨트 를 항상 착용 하진 않지만 갖고 있으면 좋습니다 가끔 포인트 수도 있구요 제품 괜찮은 같아요,2019.05.14 00:17,None
청바지,블랙 벨트 필요했는데 마침 구매 했습니다 가격 대 비해 버클 도 고급스럽고 착용 있습니다,2019.05.14 00:01,price
